id,created_at,text
967828265409925121,2018-02-25 18:26:54,"الأوبزرفر: سوريا المستنقع الذي غرق فيه الروس.. وحلفاء رئيس النظام السوري فقدوا الثقة في مابينهم
#نشرة_التاسعة https://t.co/ANrb6Vbswe"
967820237256253440,2018-02-25 17:55:00,"انفوغرافيك: ماذا تعرف عن رؤية 2035 الكويتية؟
#الدم_يحن_ياكويت
https://t.co/Qf3LBDc8pD"
967812686863126529,2018-02-25 17:25:00,"القدس: إغلاق كنيسة القيامة احتجاجاً على اضطهاد الإسرائيليين للمسيحيين
#نشرة_التاسعة
https://t.co/XmjSg1XJ7z"
967810171513835523,2018-02-25 17:15:00,"تجارب حياتية وخبرات شخصيّة تعرضها ثنائيات في ""هي وهو"" على MBC1
#نشرة_التاسعة
https://t.co/NDFxGyfOkJ"
967805249695158274,2018-02-25 16:55:27,"أوائل الكويت.. ملامح وشخصيات ساهمت في بناء النهضة
#الدم_يحن_ياكويت
https://t.co/Md2CXoMBtq"
967796956062994433,2018-02-25 16:22:29,"فيديو: مسيرة الصحافة الكويتية من اللبنات الأولى حتى القمة
#الدم_يحن_ياكويت
https://t.co/KWGPHSXWCi"
967787454248955906,2018-02-25 15:44:44,"فيديو: دولة خليجية طمع فيها الإسكندر وعرفت بـ""أم اللؤلؤ""
#الدم_يحن_ياكويت
https://t.co/BTHZiHwhsx"
967787269494132737,2018-02-25 15:44:00,"RT @mbc1: #الدم_يحن_ياكويت
#MBC1 https://t.co/20GRfCuxnx"
967787269280157697,2018-02-25 15:44:00,"RT @mbc1: أوائل كويتية..
#الدم_يحن_ياكويت
#MBC1 https://t.co/1vdbW4yMWJ"
967472477067730944,2018-02-24 18:53:07,"ماراثون الرياض الدولي يختتم بفوز عداء أثيوبي.. كما فاز المتسابق ""عبدالله الجود"" في سباق المحترفين المواطنين… https://t.co/c2gkJEHQb4"
967472241251405825,2018-02-24 18:52:11,"الشيخ محمد بن راشد يعلن عن وظيفة براتب مليون درهم بمسمى ""صانع أمل"" يشترط على المتقدم أن يكون عربيا و له تاريخ في ال… https://t.co/kHYRXn7Fvb"
967470454947622913,2018-02-24 18:45:05,"السلطات اللبنانية توقف مطلوب يشتبه بتورطه بجريمة قتل العاملة الفلبينية بالكويت.. واعترافات لقاتل ""جثة الفريزر""… https://t.co/WsVq3SGbH3"
967468025678127104,2018-02-24 18:35:26,"أكثر من 3 مليون أسرة في السعودية تملك سيارة أو أكثر.. منطقة مكة تتصدر عدد الأسر المالكة للمركبات تليها الرياض
تقرير… https://t.co/tdYIIPI1kY"
967466871732699137,2018-02-24 18:30:51,"وقفة مع أبرز الأخبار العربية والعالمية لهذا المساء..
#نشرة_التاسعة https://t.co/aH6fwL7Zm1"
